Comune di Tortoli';Sardegna;OG;Tortoli';protocollo@pec.comuneditortoli.it
Comune di Ischitella;Puglia;FG;Ischitella;demografico@pec.comune.ischitella.fg.it
Comune Jerzu;Sardegna;OG;Jerzu;finanziario@pec.comune.jerzu.og.it
Comune di Mariglianella;Campania;NA;Mariglianella;compoliziam.mariglianella@asmepec.it
Comune di Ortisei;Trentino Alto Adige;BZ;Ortisei;stulrich.ortisei@legalmail.it
Comune di Tinnura;Sardegna;OR;Tinnura;protocollo.tinnura@pec.comunas.it
Comune di Savona;Liguria;SV;Savona;posta@pec.comune.savona.it
Comune di Villastellone;Piemonte;TO;Villastellone;demografici.villastellone@legalmail.it
Comune di Venaria Reale: Servizio Contratti;Piemonte;TO;Venaria Reale;contrattivenariareale@pec.it
Comune di Arsie';Veneto;BL;Arsie';arsie.bl@cert.ip-veneto.net
Comune di Lavarone;Trentino Alto Adige;TN;Lavarone;anagrafe@cert.comune.lavarone.tn.it
Comune di Pieve Ligure ;Liguria;GE;Pieve Ligure;comune.pieveligure@pec.it
Comune di San Candido;Trentino Alto Adige;BZ;San Candido;innichen.sancandido@legalmail.it
Comune di San Giovanni La Punta;Sicilia;CT;San Giovanni la Punta;sangiovannilapunta@pec.it
Comune di Tinnura;Sardegna;OR;Tinnura;protocollo.tinnura@pec.comunas.it
Comune di San Giovanni La Punta;Sicilia;CT;San Giovanni la Punta;grazia.raciti@pec.sglapunta.it
Comune di Bascape';Lombardia;PV;Bascape';comune.bascape@pec.regione.lombardia.it
Comune di Calto;Veneto;RO;Calto;comune.calto.ro@pecveneto.it
Comune di Villa Latina;Lazio;FR;Villa Latina;comunevillalatina@arubapec.it
Comune di Alta Valle Intelvi;Lombardia;CO;Alta Valle Intelvi;comune.altavalleintelvi@pec.it
Comune di Cairo Montenotte;Liguria;SV;Cairo Montenotte;protocollo@pec.comunecairomontenotte.gov.it
Comune di Callabiana;Piemonte;BI;Callabiana;callabiana@pec.ptbiellese.it
Comune di Abetone Cutigliano;Toscana;PT;Cutigliano;abetonecutigliano@postacert.toscana.it
Comune di Budduso';Sardegna;OT;Budduso';protocollo@pec.comune.budduso.ot.it
Comune di Colli al Metauro;Marche;PU;Colli al Metauro;comune.collialmetauro@pecitaly.it
Comune di Montalcino;Toscana;SI;Montalcino;info@pec.comunedimontalcino.it
Comune di San Marcello Piteglio;Toscana;PT;San Marcello Pistoiese;comunedisanmarcellopiteglio@pec.it
Comune di Serrastretta;Calabria;CZ;Serrastretta;segretario.serrastretta@asmepec.it
Comune di Terre Roveresche;Marche;PU;Terre Roveresche;comune.terreroveresche@pecitaly.it
Comune Funes Amministrazione Separata Dei Beni di Uso Civico - Frazione Tiso;Trentino Alto Adige;BZ;Funes;villnoess.funes@legalmail.it
Comune di Fabbriche di Vergemoli;Toscana;LU;Fabbriche di Vergemoli;comune.fabbrichedivergemoli@postacert.toscana.it
Comune di San Lorenzo al Mare;Liguria;IM;San Lorenzo al Mare;sanlorenzoalmare.im@cert.legalmail.it
Comune di Ussassai;Sardegna;OG;Ussassai;protocollo@pec.comune.ussassai.og.it
Comune di Vicari;Sicilia;PA;Vicari;comunevicari@pec.it
Comune di Magreglio;Lombardia;CO;Magreglio;comune.magreglio@legalmail.it
Comune di Valfornace;Marche;MC;Valfornace;comune.valfornace@emarche.it
Comune di Pazzano;Calabria;RC;Pazzano;protocollo@pec.comune.pazzano.rc.it
Comune di Quero Vas;Veneto;BL;Quero Vas;querovas.bl@cert.ip-veneto.net
Comune di Dolcedo;Liguria;IM;Dolcedo;comune.dolcedo@legalmail.it
Comune di Sant'Omero;Abruzzo;TE;Sant'Omero;protocollo@pec.comune.santomero.te.it
Comune di Gambettola;Emilia Romagna;FC;Gambettola;comune.gambettola@cert.provincia.fc.it
Comune di Corte Brugnatella;Emilia Romagna;PC;Corte Brugnatella;comune.cortebrugnatella@sintranet.legalmail.it
